Road No.,LRPName,length,condition,roadName,Traffic,Criticality_scores
N8,LRP146a,289.95,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.16158450213380499
N2,LRP192a,282.35,3,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.15700724083342313
N2,LRP192a,282.35,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.15700724083342313
R212,LRP015d,260.82,0,Akdaria (C&B Bazar)-Shekher Bazar-Puradia-Agarpur Road,1871.0,0.14586890741653075
N8,LRP013a,260.0,1,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.144893845679563
N8,LRP013a,260.0,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.144893845679563
N208,LRP036c,257.6,0,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665.0,0.1435575095420058
N208,LRP036c,257.0,0,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665.0,0.14322313646077442
N5,LRP473a,254.76,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.14186605325923476
N5,LRP473a,253.65,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.14124793691790272
N5,LRPSa,251.2,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.1398836260744221
N5,LRP388b,246.85,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.13746127825028304
N5,LRP388b,246.85,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.13746127825028304
N5,LRP388b,246.4,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.1372106905443376
N2,LRP058a,241.61,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.1343528225881472
N405,LRP014a,236.39,1,Elenga-Nalka-Hatikamrul Road (Nalka-Hatikamrul RHD Part),16456.0,0.13102656959346712
N405,LRP014a,235.63,1,Elenga-Nalka-Hatikamrul Road (Nalka-Hatikamrul RHD Part),16456.0,0.1306053157633938
R280,LRP014a,226.5,0,Sylhet-Sunamganj Road,6991.0,0.12627805849615603
R280,LRP014a,226.0,0,Sylhet-Sunamganj Road,6991.0,0.125999298985127
R281,LRP077c,224.5,2,Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road,4375.0,0.12536391382242104
R281,LRP077c,224.4,1,Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road,4375.0,0.12530807243541775
N1,LRP023b,224.82,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.1248892335865789
N1,LRP023a,224.8,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.12487812343324856
R585,LRP087d,223.6,0,Gobindagnj-Goraghat-Birampur-Fulbari-Dinajpur Road,6201.0,0.12472167746280337
R585,LRP087d,223.48,1,Gobindagnj-Goraghat-Birampur-Fulbari-Dinajpur Road,6201.0,0.12465474275217932
N1,LRP166a,222.43,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.12356157026360086
N1,LRP166a,220.6,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.12254499123387289
R556,LRP015a,217.5,0,Mithapukur-Shahebganj-Maddahpara-Fulbaria Road,4274.0,0.12146253109491527
R556,LRP015a,217.5,0,Mithapukur-Shahebganj-Maddahpara-Fulbaria Road,4274.0,0.12146253109491527
N2,LRP142c,217.25,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.12080688178169355
N2,LRP142c,216.15,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.12019520136760903
R241,LRP040a,214.75,1,Auskandi-Raniganj-Jagannathpur-Pagla Road,1750.0,0.12011220832273761
R241,LRP040a,213.5,0,Auskandi-Raniganj-Jagannathpur-Pagla Road,1750.0,0.1194130685769708
N1,LRP023a,214.09,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.11892863632484066
N1,LRP023a,213.5,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.11860088680159503
R163,LRP005a,212.55,0,Chittagong (Mohara)-Chandragona Road,7016.0,0.1184988504784966
N1,LRP279a,211.3,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.11737876993525542
N1,LRP279a,211.0,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.1172121176353
N105,LRP027a,209.0,0,Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4),11138.0,0.11622499804079262
N2,LRP093a,203.75,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.11329989488156529
N2,LRP093a,202.55,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.11263260715710946
R163,LRP005a,200.45,2,Chittagong (Mohara)-Chandragona Road,7016.0,0.11175297378694256
R280,LRP043a,194.35,0,Sylhet-Sunamganj Road,6991.0,0.10835382193698863
R280,LRP043a,193.6,0,Sylhet-Sunamganj Road,6991.0,0.10793568267044507
N1,LRP161a,193.22,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.1073351913246098
N5,LRP025a,192.4,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.107140165830887
N5,LRP025a,192.08,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.10696197012888135
N1,LRP161a,191.5,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.10637971813819881
N2,LRP266a,190.5,1,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.10593192625736535
N2,LRP266a,190.5,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.10593192625736535
N302,LRP008a,191.5,1,Tongi-Ashulia-Zerabo-EPZ Road,26940.0,0.10545811588490484
N302,LRP008a,186.6,2,Tongi-Ashulia-Zerabo-EPZ Road,26940.0,0.10275970978654435
R760,LRP046a,182.0,0,Khulna-Chuknagar-Satkhira Road,10088.0,0.10127565443028809
R760,LRP046a,181.82,0,Khulna-Chuknagar-Satkhira Road,10088.0,0.10117549169513726
R114,LRP035b,180.0,2,Nayapur-Araihazar-Narsingdi-Raipura Road,4896.0,0.10048241753748949
N105,LRP029b,174.75,0,Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4),11138.0,0.0971785569742991
R211,LRP032c,173.0,2,Itakhola-Motkhola-Kotiadi Road,3592.0,0.09665193560587225
N805,LRP065a,172.85,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.09648979096576385
N805,LRP065a,172.7,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.09640605669532783
N1,LRP028a,173.25,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.09624170322424515
R211,LRP032c,171.97,2,Itakhola-Motkhola-Kotiadi Road,3592.0,0.09607649344590664
R547,LRP035a,171.15,0,Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road,3758.0,0.0956086560058041
N1,LRP028b,172.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.09560286940774944
R547,LRP035a,170.2,1,Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road,3758.0,0.09507796232654313
R161,LRP060b,167.0,0,Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road,2089.0,0.09338570458016149
R315,LRP030b,166.9,2,Mawna-Fulbaria-Kaliakoir-Dhamrai-Nabinagar (Dulivita) Road,3603.0,0.09324334918147638
R161,LRP060b,166.6,1,Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road,2089.0,0.09316202624583773
N102,LRP056b,167.14,0,Comilla (Mainamati)-Brahmanbaria (Sarail) Road,9414.0,0.09304519886904707
N102,LRP056b,166.3,1,Comilla (Mainamati)-Brahmanbaria (Sarail) Road,9414.0,0.09257757910687166
N1,LRP028a,163.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.09082550347569456
N5,LRP260b,162.5,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.09049000492473563
N3,LRP070a,163.04,0,Dhaka (Banani)-Joydebpur-Mymensingh Road,18755.0,0.09024181545925253
R870,LRP043f,160.58,0,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.08969805819337176
R870,LRP043f,160.58,2,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.08969805819337176
N2,LRP193a,160.7,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.08936094776671186
N105,LRP029b,160.0,0,Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4),11138.0,0.08897607505515225
N2,LRP193a,159.85,3,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.08888828562855564
N1,LRP017b,159.52,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.08861458296295288
N1,LRP017b,159.5,1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.08860347280962251
N3,LRP070a,159.8,2,Dhaka (Banani)-Joydebpur-Mymensingh Road,18755.0,0.08844849184487584
R685,LRP049d,155.7,0,Rajshahi (Bindur More)-Nawhata-Chowmasia Road,10335.0,0.08662761071665802
R685,LRP049d,155.4,0,Rajshahi (Bindur More)-Nawhata-Chowmasia Road,10335.0,0.08646069817192459
R760,LRP024a,154.79,2,Khulna-Chuknagar-Satkhira Road,10088.0,0.08613438763332029
R760,LRP024a,154.72,1,Khulna-Chuknagar-Satkhira Road,10088.0,0.08609543545853941
N5,LRP029a,151.0,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.08408609688390818
N5,LRP029a,151.0,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.08408609688390818
N507,LRP024a,150.16,1,Hatikamrul-Banpara Road,5254.0,0.08380627704644225
N507,LRP023a,150.12,2,Hatikamrul-Banpara Road,5254.0,0.0837839525187261
N507,LRP026b,150.0,0,Hatikamrul-Banpara Road,5254.0,0.08371697893557764
N507,LRP024a,150.0,0,Hatikamrul-Banpara Road,5254.0,0.08371697893557764
N507,LRP023a,150.0,0,Hatikamrul-Banpara Road,5254.0,0.08371697893557764
N507,LRP026b,149.82,1,Hatikamrul-Banpara Road,5254.0,0.08361651856085493
R860,LRP021a,148.8,3,Mostafapur-Madaripur-Shariatpur (Monohar Bazar)-Ibrahimpur-Harina-Chandpur (Bhatialpur) Road,3352.0,0.08314405416152476
R860,LRP021a,148.8,0,Mostafapur-Madaripur-Shariatpur (Monohar Bazar)-Ibrahimpur-Harina-Chandpur (Bhatialpur) Road,3352.0,0.08314405416152476
N5,LRP031a,149.0,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.08297237374637298
N5,LRP031a,149.0,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.08297237374637298
R203,LRP015a,148.11,2,Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road,3091.0,0.08277173033138638
N1,LRP377a,148.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.08249288847792441
R280,LRP053a,146.0,0,Sylhet-Sunamganj Road,6991.0,0.08139777722048028
R172,LRP001c,143.7,3,Chokoria-Baderkhali Road,3298.0,0.08029701313038688
R548,LRP028b,142.65,2,Naogaon-Atrai-Natore Road,4031.0,0.07967452434839917
R548,LRP028b,142.1,0,Naogaon-Atrai-Natore Road,4031.0,0.07936733200075373
N2,LRP058a,141.61,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.07874551221682681
R745,LRP080b,140.0,2,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242.0,0.07808853226192976
N2,LRP058a,140.4,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.07807266376133383
N804,LRP022a,139.87,2,Bhanga-Faridpur (Goalchamot) Road,5957.0,0.07802965729240188
N804,LRP022a,139.57,2,Bhanga-Faridpur (Goalchamot) Road,5957.0,0.07786229547651768
N2,LRP177d,140.0,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.07785023451984854
N2,LRP177d,140.0,0,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.07785023451984854
R745,LRP080b,139.45,0,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242.0,0.07778175588518645
R114,LRP035b,138.67,0,Nayapur-Araihazar-Narsingdi-Raipura Road,4896.0,0.07741053799957592
N208,LRP003b,137.4,1,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665.0,0.07657143560198601
N1,LRP377a,136.3,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.07571569494640469
N5,LRP350b,135.45,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07542689948957194
R280,LRP051c,135.0,1,Sylhet-Sunamganj Road,6991.0,0.07526506797784134
N5,LRP497a,134.7,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07500925331299622
N703,LRPSd,134.45,1,Jhenaidah Town Old Section,6060.0,0.07500125008483353
N5,LRP350b,134.45,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07487003792080434
N5,LRP497a,134.37,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07482548899530293
N8,LRP080b,133.12,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.07418564898793627
N208,LRP003b,133.0,0,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665.0,0.07411936633962256
N8,LRP080b,133.0,2,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.07411877490531493
N703,LRPSd,132.4,2,Jhenaidah Town Old Section,6060.0,0.07385768323712875
N809,LRP028a,130.1,2,Barishal-Laherhat-Veduria-Bhola-Illisha-Maju Chowdhuryhat-Lakshmipur Road,1754.0,0.07276628672760273
N208,LRP038a,130.57,1,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665.0,0.07276515536063546
R870,LRP003a,130.17,0,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.07271139765245485
R870,LRP003a,130.17,1,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.07271139765245485
N5,LRP123b,130.1,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07244769009666527
N809,LRP028a,128.76,0,Barishal-Laherhat-Veduria-Bhola-Illisha-Maju Chowdhuryhat-Lakshmipur Road,1754.0,0.07201681075362126
N106,LRP042a,128.25,2,Chittagong-Hathazari-Rangamati Road,6706.0,0.07151431756520508
N4,LRP067a,127.5,2,Joydebpur-Tangail-Jamalpur Road,19183.0,0.0705519385845256
N5,LRP010a,126.0,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07016455766471809
N5,LRP010b,126.0,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.07016455766471809
N3,LRP085a,125.95,0,Dhaka (Banani)-Joydebpur-Mymensingh Road,18755.0,0.06971268803418092
N502,LRP044a,124.43,2,Bogra (Jahangirabad)-Natore Road,6620.0,0.06938788294730898
R870,LRP018a,123.7,1,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.06909733340714962
N502,LRP044a,123.82,0,Bogra (Jahangirabad)-Natore Road,6620.0,0.06904771893060996
R745,LRP017b,123.0,1,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242.0,0.06860635334440972
N5,LRP517b,123.0,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.06849397295841528
R870,LRP018a,122.6,0,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866.0,0.0684828866266495
R745,LRP017b,122.18,0,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242.0,0.06814897765544699
N8,LRP098a,121.5,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.0677100086541035
N8,LRP088a,121.41,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.06765985309213748
N8,LRP088a,121.4,1,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.06765428025191905
N4,LRP003c,121.85,0,Joydebpur-Tangail-Jamalpur Road,19183.0,0.06742551934528976
N4,LRP004a,121.6,0,Joydebpur-Tangail-Jamalpur Road,19183.0,0.0672871822108103
N4,LRP004a,121.6,1,Joydebpur-Tangail-Jamalpur Road,19183.0,0.0672871822108103
N4,LRP003c,121.6,1,Joydebpur-Tangail-Jamalpur Road,19183.0,0.0672871822108103
N5,LRP010a,120.3,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.06699044672274275
N5,LRP010a,120.0,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.06682338825211247
N1,LRP023c,120.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.06671647074881293
N805,LRP004a,119.33,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.06661340327419496
N805,LRP016a,119.06,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.06646268158741016
N805,LRP004a,119.06,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.06646268158741016
N1,LRP023c,119.48,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.06637205599557178
R745,LRP023a,118.85,0,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242.0,0.06629158613807393
