Road No.,Road Name,Traffic,Length,Criticality_scores
R248,Ambarkhana - Shahidgaon - M. C. College - Tilagar Road,6758,4257.0,0.008059236229912439
N518,Sayedpur Town Old Section (Sutkir More-Sonapukur),10624,4160.0,0.007856920270789512
N403,Mirzapur Town old Section Road,4899,3732.0,0.007073378069637516
N711,Benapole Town Old Section,14170,3580.0,0.006746740732510464
N408,Korotia Bazar Portion Road,16456,3532.0,0.006646904358423658
N703,Jhenaidah Town Old Section,6060,3490.0,0.006610001942382658
R546,Railgate-Shantahar Road,7023,3460.0,0.0065493126962424385
R144,Laksam Old Section,5961,3380.0,0.006402052398303004
R813,Muktarpur Ferry Ghat to Munshiganj Road,7586,3378.0,0.006391889013634901
N503,Utholi-Aricha Road,3258,3269.0,0.0062020696935243215
R586,Fulbari Bus Stand-Dinajpur Govt. College Road,8215,3266.0,0.006177575502971863
R364,Battoli at R360-Kishoreganj Road,7602,3034.0,0.005740912024839101
N406,Kaliakoir Town Old Section,16456,3042.0,0.005724768702809958
N605,Rajshahi Greater Road,8643,2960.0,0.005597311103964765
N119,Chandina Town Old Section,5533,2850.0,0.005399596946403044
N129,Kumira Old Section Road,0,2790.0,0.005303849758475229
N510,Bogra Station Road,12826,2784.0,0.005250973017327021
N112,Feni-Noakhali Highway Link Road,6275,2720.0,0.005150955567809371
N519,Shahid Ziaur Rahman Medical College Connecting Road,10624,2640.0,0.0049861224795394975
N520,Ullapara Town Link Road,10624,2601.0,0.004912463852000846
N109,Ramu Old Section (Ramu Hospital-Khalekuzzaman Chattar)Road,5533,2510.0,0.00475543450367426
N205,Chandipool-Keean Bridge Road,2628,2478.0,0.004703167857302128
R712,Tottipur at R771-Machpara Link Road,3268,2220.0,0.004211841674852249
R147,Lakshmipur Town Bridge-Tero Baki Road,3191,2205.0,0.004183580472622191
R120,Akhaura Town By-Pass Road,5330,2200.0,0.00416862860258516
N407,Korotia-Bangra Road,16456,2206.0,0.0041514923597629075
R201,Tarabo-Demra Road,17676,2195.0,0.00412768125534497
R814,R812 to Muktarpur Ferryghat Link Road,9877,2034.0,0.0038433453499270797
R822,Sreenagar Upazilla-UNO Office,5424,1924.0,0.003645445150809121
R543,Mohadebpur Bypass Road,4261,1920.0,0.0036404596115357387
R372,Shambhuganj-Puratan Ferry Ghat Road,6305,1920.0,0.003635901739743707
N206,Keean Bridge-Nayarpool Road,7692,1797.0,0.0034000820781314917
R249,Chowhatta - Kumarpara-Naiorpul Road,6758,1712.0,0.0032411116809044154
R146,Wireless More (Intersection with R140)-Illisha Chattar Road,5961,1700.0,0.003219967182578434
R602,Nazirganj at R601 to Nazirganj Ferry Ghat Road,2426,1415.0,0.0026859584821722015
R145,Lashmipur Town Old Section,5961,1400.0,0.002651737679770475
R303,Tongi By-Pass Road,23157,1401.0,0.0026256519168746275
N126,Komoldoho Old Section Road,0,1345.0,0.002556873808297198
R682,Rajshahi-Nawabganj Road Old Section,0,1330.0,0.0025283584870150733
N209,Sylhet Railway Station By-Pass Road,19136,1330.0,0.002498799960016748
N128,Sitakunda Old Section Road,0,1297.0,0.0024656247801943983
R821,Sreenagar Bazar Bypass,5424,1285.0,0.0024347177852337425
R247,Shahi Eidgaon - Kumarpara Road,6758,1188.0,0.0022490891804406807
N125,Bartakia Old Section Road,0,1140.0,0.002167164417441491
N211,Shah Mostafa (Beripar-Moulvibazar Court Road) Road,19136,1148.0,0.0021568589128565614
R317,Toke Bazar-Banar Toke Ferry Ghat,6134,1000.0,0.001893897421343101
N701,Daulatdia Ferryghat by-pass Road,6731,1000.0,0.00189320406847601
N303,Charkhai Bazar Link Road,28352,1009.0,0.0018849063872021122
R222,Shaistaganj(Puranabazar)Laskarpur Railgate link Road,5017,980.0,0.0018572908056624542
N203,Bhairab Bazar Old Ferryghat link Road,0,975.0,0.0018534958833381176
N124,Mithachara Old Section Road,0,857.0,0.001629175355918735
R316,Kapasia Bazar Old Part,2337,650.0,0.0012338997050181163
R851,Gopalganj Bus Terminal Link Road,3989,650.0,0.0012326525989734215
R772,Bagerhat Town Section (Bus Stand-Basabati) Road,4536,630.0,0.0011943245983362973
R891,Bhola (Illisha Junction)-Illisha Road,2634,615.0,0.0011672468170513244
N213,Asugonj River port Connecting Road,19136,500.0,0.0009393984812093036
N212,Tamabil Landport Connecting Road,19136,490.0,0.0009206105115851175
N710,Khulna Town Old Section (Ferryghat-Dakbangla More),12352,400.0,0.000754670346676219
N127,Choto Darogarghat Old Section,0,305.0,0.0005798115327365393
